"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"URI1",0.210036642058622,8.27743807167433,2.53959938813654,0.0134285995919228,0.0252255677313332,-3.95342851663548,"NS"
"SAMM50",0.184411569193625,9.64450040707124,2.53956771916515,0.0134297060787519,0.0252255677313332,-3.95350236962429,"NS"
"SPATA31E1",0.100980627306091,4.78637524602514,2.53932995159763,0.0134380161060564,0.025238269161749,-3.95405682650676,"NS"
"PATZ1",0.205091031783056,7.57789099322413,2.53892346354044,0.0134522337124372,0.0252620615581175,-3.95500462851975,"NS"
"PPP1R26",-0.183995511950883,8.41733052952516,-2.53881617734421,0.0134559884946739,0.0252662025126296,-3.95525476528629,"NS"
"PCDH20",-0.695456088986964,7.19027566683591,-2.53834024283764,0.0134726565817531,0.0252945869310113,-3.95636429728295,"NS"
"ZNF764",0.154366232786333,7.79684983741493,2.53814690987761,0.013479432777944,0.0253043951654115,-3.95681495978973,"NS"
"RRP9",0.215411293392091,8.07248646154899,2.53786793550723,0.0134892160779693,0.0253196259856315,-3.95746520413318,"NS"
"CLRN1",0.0806218102666323,4.26141200356738,2.53782700377669,0.013490652044724,0.0253196259856315,-3.95756060445925,"NS"
"PMM1",-0.336777692017407,9.06328071675425,-2.53751501524252,0.0135016017637287,0.0253372600317487,-3.95828772018125,"NS"
"P2RY10",0.421278343787884,7.23491836193857,2.53710455697432,0.013516019660189,0.0253613976913019,-3.95924421590145,"NS"
"ELFN2",0.214338406489175,6.79082754988892,2.53687579057535,0.0135240614214569,0.0253735670213388,-3.95977725765939,"NS"
"RBFOX3",0.209751259160416,4.7978049562921,2.53677990235703,0.0135274334385927,0.0253769732807289,-3.9600006721688,"NS"
"MYC",-0.54636639968461,10.9565506218077,-2.53557422495635,0.0135698973047851,0.0254537052067668,-3.96280924396651,"NS"
"PKD1L2",0.179888712118365,5.81479162512343,2.53393904273933,0.0136276806855903,0.0255576981027165,-3.96661657178424,"NS"
"SLC2A4RG",0.261239575606066,8.01518742029586,2.53391665891132,0.0136284732154696,0.0255576981027165,-3.96666867584158,"NS"
"SH2B2",0.240022236598533,8.98600736237034,2.53383464386013,0.0136313774256327,0.0255602044332967,-3.96685958351118,"NS"
"CXXC4",0.283788390708038,6.56137312805382,2.53374304313326,0.0136346217320326,0.0255633478287787,-3.9670727978875,"NS"
"UTP11",0.197212616882355,9.42497624793027,2.53362995467487,0.0136386280509691,0.0255679190229964,-3.96733601941384,"NS"
"NCK2",-0.171285595016876,10.251727013493,-2.53290742485089,0.0136642498005414,0.0256125706594319,-3.96901753120893,"NS"
"DFFB",0.219268036781487,7.22075875861579,2.5328697120854,0.0136655883320902,0.0256125706594319,-3.96910528761936,"NS"
"THRSP",0.0935965449526215,5.40733685218825,2.53181308731389,0.0137031390714641,0.0256799976346149,-3.9715635825216,"NS"
"RBM22",-0.128274159061034,9.87371666270364,-2.53166306909018,0.0137084780244041,0.025687050420628,-3.97191253957368,"NS"
"SGSH",0.151720375147162,8.32267458196208,2.53145916568071,0.0137157376925567,0.0256977002228734,-3.9723868115271,"NS"
"MPC1",-0.11530204094565,7.20117417828995,-2.53015935197159,0.0137620972269525,0.0257815963677161,-3.97540939148697,"NS"
"ARHGEF28",-0.256687409699604,7.61680513676611,-2.52976117008249,0.013776327182189,0.0258028520764272,-3.97633506564567,"NS"
"ZNF382",0.270238092621691,5.29968493688421,2.52975329798946,0.0137766086436027,0.0258028520764272,-3.97635336509994,"NS"
"MRPL57",0.205174411903384,9.807062038741,2.52950721510827,0.0137854097906804,0.0258163704602863,-3.97692538529536,"NS"
"DRD4",0.148101174676155,5.59595713363075,2.52886032919228,0.0138085698646151,0.0258567730645096,-3.97842885432564,"NS"
"ATP6V0E2",0.330677128283424,9.40885603082164,2.52874301208837,0.0138127738608252,0.0258616748997352,-3.97870148458295,"NS"
"GRIK5",0.100727987811989,6.78995686426791,2.52856122326859,0.0138192904494265,0.0258709049819095,-3.97912391844499,"NS"
"CCDC178",-0.270493654328739,6.28856662692119,-2.52837357056444,0.0138260201521505,0.0258805318668958,-3.97955995232419,"NS"
"PHLDA1",-0.404593611769553,9.23808487761939,-2.52812278673605,0.0138350185166643,0.0258944026972443,-3.98014263741091,"NS"
"SPINK4",0.485416982521301,6.95584389152721,2.52790667148627,0.01384277718029,0.0259059503153636,-3.98064473338251,"NS"
"ARIH1",-0.156471944436936,8.7895855125644,-2.52739816511981,0.0138610483528298,0.02593716657231,-3.98182599587585,"NS"
"SON",-0.138965301737391,10.8262561528466,-2.52720883013898,0.0138678569195999,0.0259469289898046,-3.98226577181368,"NS"
"LRRC37A3",-0.40146331372912,5.66248278132249,-2.52712505800439,0.0138708703646577,0.0259495892628089,-3.9824603440376,"NS"
"TMEM221",0.117960156373294,6.7867921427951,2.52704220335785,0.0138738513873413,0.0259521882766422,-3.98265278004075,"NS"
"APAF1",0.138549643490768,6.8949781209782,2.52654772277672,0.013891654304979,0.0259825090958332,-3.98380113937354,"NS"
"PRKCSH",0.227996770908852,10.3866897187553,2.52596525332975,0.0139126515604619,0.0260187968618686,-3.98515360242624,"NS"
"GDA",0.299063642823082,4.90042270776547,2.52561937775821,0.0139251334711589,0.0260391531269382,-3.98595658543854,"NS"
"TIMMDC1",0.177607100522891,10.8293183995391,2.52535865155658,0.0139345492036638,0.0260537718138228,-3.98656182616819,"NS"
"RRM2B",-0.302390758146263,9.80025155884432,-2.5247437600888,0.0139567778408334,0.0260910518962036,-3.98798900979099,"NS"
"GUCA1C",0.090349155052686,4.14929111835182,2.52471858590603,0.0139576885818626,0.0260910518962036,-3.98804743380313,"NS"
"LELP1",0.106500707611749,4.92269214531929,2.52431833138836,0.0139721760300545,0.0261141704505979,-3.98897627627498,"NS"
"CCDC38",0.129915813164637,4.9249832200559,2.52428841248027,0.0139732595075452,0.0261141704505979,-3.98904570209995,"NS"
"CFAP410",-0.117446996701497,7.6096975220034,-2.52328669182178,0.0140095794243457,0.0261790467546742,-3.99136976964433,"NS"
"SEPHS1",-0.167229534864401,8.63028876730187,-2.52312361134499,0.0140155003772543,0.0261871095749202,-3.99174805665067,"NS"
"FRS2",-0.10980734615829,7.06371348074561,-2.52302631791481,0.0140190338793595,0.0261907102519855,-3.99197373218768,"NS"
"ARHGAP27",0.159440335219617,6.88693812302043,2.52268716373163,0.0140313575653047,0.026207881731305,-3.99276035613564,"NS"
"NGLY1",0.166382356765086,10.0604046674498,2.52268489283207,0.0140314401148529,0.026207881731305,-3.99276562289739,"NS"
"HDGFL2",0.115894041295572,8.63465082756863,2.52244800740937,0.0140400535527608,0.0262209659936096,-3.99331499563109,"NS"
"CCL27",0.12872837776865,4.84116045733329,2.5217938098143,0.0140638657515864,0.0262602906926703,-3.99483195667357,"NS"
"KIF5B",-0.162891338326897,10.4632610531405,-2.52178102829954,0.0140643313498772,0.0262602906926703,-3.9948615913668,"NS"
"COG1",0.173711337255991,9.20248825089265,2.52148314569135,0.01407518640102,0.0262775494196988,-3.99555221460595,"NS"
"ZKSCAN5",0.104923525548126,7.5893122849134,2.52119339343355,0.0140857524292708,0.0262942646676014,-3.99622392353096,"NS"
"SLC13A5",0.315062026352109,5.91226011419436,2.52013146727897,0.0141245375533982,0.0263636474265146,-3.99868515549384,"NS"
"PSG11",0.142677629022288,4.72779959346856,2.52008523250471,0.0141262283901588,0.0263637852189961,-3.99879229464271,"NS"
"FERMT3",-0.33075796940382,9.65723743027642,-2.52003759499321,0.0141279707169827,0.0263640190648604,-3.998902682637,"NS"
"DDB1",0.151865140666684,10.7741031063106,2.51963606501254,0.0141426642548436,0.0263884181747504,-3.99983305931237,"NS"
"PRR15",0.633701012625639,6.34879772889297,2.51955955505,0.0141454656142411,0.0263906249427379,-4.00001032506089,"NS"
"DDHD2",-0.197512132367763,9.46388139699463,-2.51907067448924,0.0141633774609043,0.0264210190071606,-4.00114290637827,"NS"
"NRSN2",0.252153155847106,8.31748190789794,2.51884990806305,0.0141714727145257,0.0264330958857828,-4.00165429277101,"NS"
"ZNF839",0.185836657887809,7.4078274341562,2.51872499292671,0.0141760550594048,0.0264363723346532,-4.00194363152822,"NS"
"FIS1",-0.191205170284036,10.993669620802,-2.51871362248739,0.0141764722351492,0.0264363723346532,-4.00196996809093,"NS"
"ABCC12",0.0948545160165262,4.61055972695145,2.51862219635297,0.0141798270169845,0.0264396042640571,-4.00218172856039,"NS"
"BHLHE23",0.126152422360713,5.80472159094023,2.51796350830415,0.0142040180290374,0.0264816820978188,-4.00370718894652,"NS"
"ASXL2",0.128135620645951,7.17323464051103,2.51786545352929,0.01420762237584,0.0264853733381769,-4.0039342465411,"NS"
"RERE",-0.186495447047254,7.86668406440056,-2.51768965681419,0.0142140864657758,0.0264943941623423,-4.00434130665132,"NS"
"PHF21B",0.083774395044566,4.53042051284317,2.51762485145664,0.0142164700444614,0.0264958079109395,-4.00449135857638,"NS"
"LAMB1",-0.333529361476181,10.1625815853264,-2.5171978866057,0.014232183075256,0.0265220611337267,-4.00547988383068,"NS"
"TPM1",-0.273865271684187,10.9260016021078,-2.5168937951885,0.0142433837057792,0.0265399003358885,-4.00618384344666,"NS"
"VMA21",0.110221703170185,7.32290681908557,2.51589436812024,0.0142802517389111,0.0266055564336883,-4.00849698299487,"NS"
"SAP30BP",-0.111276954216361,9.09015911271601,-2.51538836920946,0.014298950420427,0.0266373500519471,-4.00966781080471,"NS"
"SRSF12",0.164784158282058,5.55008355107843,2.51516158874762,0.0143073380290331,0.0266499302211078,-4.0101924936289,"NS"
"BAIAP3",0.190140417727846,8.05714942693859,2.51508381317401,0.0143102156260705,0.0266522453241322,-4.01037242741648,"NS"
"RTP5",0.124597699565814,6.64695742073101,2.51462373457595,0.0143272486270808,0.026680920801362,-4.01143672525379,"NS"
"VPS52",0.158466026701696,10.0372666324005,2.51442142365238,0.0143347443557811,0.0266904112794881,-4.0119046793395,"NS"
"OTUD3",-0.240007911120122,8.2596386361583,-2.51439782407608,0.0143356189631058,0.0266904112794881,-4.01195926417477,"NS"
"GSC",0.124006316243654,5.18852472115382,2.51382420248203,0.0143568923571155,0.0267269665437784,-4.0132858968483,"NS"
"CEBPZ",0.189396371211853,10.5148104247226,2.51362883921067,0.0143641441177775,0.0267348532739956,-4.01373766254759,"NS"
"KDM4A",0.117385109322605,8.41466381872103,2.51362172088788,0.014364408407765,0.0267348532739956,-4.01375412268913,"NS"
"SLC3A2",0.246844657581633,9.90708682816251,2.51328763119749,0.0143768174659413,0.0267548946427014,-4.01452661579514,"NS"
"ZDHHC5",0.126660143188962,9.59265799516736,2.51323686885578,0.0143787037720438,0.0267553510955721,-4.01464398271875,"NS"
"CFAP221",-0.286416573730616,7.24192678553986,-2.51088335953219,0.0144664045608713,0.0269154695835268,-4.0200833494156,"NS"
"SLC18A1",0.150108109897788,4.3443718988951,2.51079189039141,0.0144698227682066,0.0269187574638111,-4.02029466539937,"NS"
"PRMT6",0.255525355199159,7.44973574943301,2.51045857205962,0.0144822850572854,0.0269388677209335,-4.02106465806478,"NS"
"CMPK1",0.119940089083663,9.51269709957742,2.51021578948445,0.0144913684362749,0.0269526889099961,-4.02162545253527,"NS"
"DVL3",0.210225466950062,9.33941494666787,2.50999152936964,0.0144997633859953,0.0269652266733509,-4.02214342283763,"NS"
"CDH16",0.216169369948561,5.56424006900848,2.50989970682953,0.0145032019345457,0.026968545203106,-4.02235549297789,"NS"
"GRIK2",0.124405987876027,4.25147856643714,2.50953951487964,0.0145166974159729,0.0269905615999569,-4.02318731784946,"NS"
"PTGES3",0.145855418299414,12.8513236008681,2.50936427555064,0.0145232672834967,0.0269996978095929,-4.02359197869956,"NS"
"EPS8",0.33711299452856,11.035088629578,2.50921611833395,0.0145288239112744,0.0270069484721716,-4.02393408359441,"NS"
"KAT8",-0.122062322369323,7.94905670096247,-2.50916946324677,0.0145305741043639,0.027007122685539,-4.02404180984588,"NS"
"CHST6",0.407184531977971,6.8429806271114,2.50894881575906,0.014538853927325,0.027019431714477,-4.02455126083364,"NS"
"RXFP3",0.110606418303586,5.08191399947831,2.50872424089849,0.0145472854927554,0.0270320199081244,-4.02506974167,"NS"
"POLR1E",0.162586691128027,8.84410747997823,2.50794605357857,0.0145765363096979,0.0270832875206057,-4.02686606275327,"NS"
"TIMD4",0.438399108456553,6.20546062199094,2.5074927139684,0.0145936010505718,0.0271119042306886,-4.02791231242791,"NS"
"TNFRSF10C",-0.475847545889488,7.45893830525822,-2.50692735403371,0.0146149077244916,0.0271483941597484,-4.02921687153,"NS"
"KMT2B",0.147381015224437,8.00391032810855,2.50648061681253,0.0146317637014668,0.0271766091807605,-4.03024753856181,"NS"
"UBP1",-0.162373226159955,10.6397267435302,-2.50639051793115,0.0146351653722005,0.0271798309862578,-4.03045538720284,"NS"
"RHOT1",-0.170730980411761,9.78113431601495,-2.50598085818551,0.0146506410091592,0.0272054727805616,-4.03140035122997,"NS"
"PLD6",0.225708339616562,7.64784233801625,2.50449394077974,0.0147069359995909,0.0273068995031694,-4.0348291571487,"NS"
"MAGEC1",0.32936770867796,4.7529994984936,2.50409106137122,0.0147222226232062,0.0273321700807053,-4.03575790029615,"NS"
"PIK3IP1",-0.272808541511672,9.63956656221585,-2.50316766025249,0.0147573136554634,0.0273941980916173,-4.0378861167817,"NS"
"LY96",0.326299491063713,7.86249095132375,2.50286745252872,0.0147687383553071,0.0274122848525646,-4.03857788317493,"NS"
"ZNF286A",0.277471564738017,5.65289454565148,2.50233747236311,0.0147889267268887,0.0274466319129417,-4.03979894490744,"NS"
"WDR33",0.119567206987093,7.58342956068146,2.50201721970934,0.0148011380624522,0.0274661683325997,-4.04053669571792,"NS"
"MAP2K4",-0.177758295170728,9.02779450472688,-2.50174501224271,0.0148115245618496,0.0274823143799244,-4.04116370568546,"NS"
"KIAA1549L",0.0945135976299021,4.52970363836935,2.50156900493193,0.0148182438900969,0.0274916532071165,-4.04156909558683,"NS"
"E2F4",0.129569732628479,9.8133047034673,2.50131335544273,0.0148280085631165,0.0275047466979915,-4.0421578797777,"NS"
"APLP2",-0.219607192017877,11.9897038834762,-2.50129590287518,0.014828675384896,0.0275047466979915,-4.04219807282361,"NS"
"OR3A3",0.116761774477955,6.50326845299948,2.5011358811202,0.0148347907014969,0.0275129595719719,-4.04256659011468,"NS"
"RPAIN",0.186157932843664,7.90926868333874,2.50075486716741,0.0148493604995289,0.0275368486788352,-4.04344395620742,"NS"
"LCN8",0.135607897655693,5.16292950466778,2.50065638841817,0.014853128377648,0.027540703408299,-4.04367070659262,"NS"
"SMC1A",0.149745749162269,7.43945999731148,2.49993951665606,0.0148805824491129,0.0275884712588511,-4.04532110341728,"NS"
"H2BC15",0.189079285225495,6.17664154277792,2.49962703047656,0.0148925640476659,0.0276075456774469,-4.04604039291122,"NS"
