"Var1","Freq"
"AMER3",5
"AMFR",10
"AMH",10
"AMHR2",9
"AMIGO1",10
"AMIGO2",10
"AMIGO3",10
"AMMECR1",10
"AMMECR1L",10
"AMN",10
"AMN1",10
"AMOT",10
"AMOTL1",10
"AMOTL2",10
"AMPD1",9
"AMPD2",10
"AMPD3",10
"AMPH",8
"AMT",10
"AMTN",2
"AMY1C",2
"AMY2B",8
"AMZ1",10
"AMZ2",10
"ANAPC1",3
"ANAPC10",10
"ANAPC11",10
"ANAPC13",10
"ANAPC15",8
"ANAPC16",10
"ANAPC2",10
"ANAPC4",10
"ANAPC5",10
"ANAPC7",10
"ANG",10
"ANGEL1",10
"ANGEL2",10
"ANGPT1",10
"ANGPT2",10
"ANGPT4",10
"ANGPTL1",9
"ANGPTL2",10
"ANGPTL3",2
"ANGPTL4",10
"ANGPTL5",2
"ANGPTL6",10
"ANGPTL7",9
"ANGPTL8",6
"ANHX",6
"ANK1",9
"ANK2",10
"ANK3",10
"ANKAR",4
"ANKDD1A",10
"ANKDD1B",3
"ANKEF1",8
"ANKFN1",8
"ANKFY1",10
"ANKH",10
"ANKHD1",10
"ANKHD1-EIF4EBP3",3
"ANKIB1",10
"ANKK1",3
"ANKLE1",6
"ANKLE2",10
"ANKMY1",10
"ANKMY2",10
"ANKRA2",10
"ANKRD1",6
"ANKRD10",10
"ANKRD11",10
"ANKRD12",10
"ANKRD13A",10
"ANKRD13B",10
"ANKRD13C",10
"ANKRD13D",10
"ANKRD16",10
"ANKRD17",10
"ANKRD18A",5
"ANKRD18B",3
"ANKRD2",10
"ANKRD20A1",3
"ANKRD22",10
"ANKRD23",10
"ANKRD24",10
"ANKRD26",10
"ANKRD27",10
"ANKRD28",10
"ANKRD29",10
"ANKRD30A",3
"ANKRD30B",3
"ANKRD30BL",2
"ANKRD31",3
"ANKRD33",6
"ANKRD33B",10
"ANKRD34A",10
"ANKRD34B",2
"ANKRD34C",5
"ANKRD35",10
"ANKRD36",3
"ANKRD36B",3
"ANKRD36C",1
"ANKRD37",10
"ANKRD39",10
"ANKRD40",10
"ANKRD40CL",3
"ANKRD42",3
"ANKRD44",10
"ANKRD45",6
"ANKRD46",10
"ANKRD49",10
"ANKRD50",10
"ANKRD52",10
"ANKRD53",10
"ANKRD54",10
"ANKRD55",6
"ANKRD6",10
"ANKRD60",9
"ANKRD61",1
"ANKRD62",2
"ANKRD63",3
"ANKRD65",10
"ANKRD66",1
"ANKRD7",2
"ANKRD9",10
"ANKS1A",10
"ANKS1B",5
"ANKS3",10
"ANKS4B",9
"ANKS6",10
"ANKUB1",9
"ANKZF1",10
"ANLN",9
"ANO1",10
"ANO10",10
"ANO2",6
"ANO3",6
"ANO4",6
"ANO5",10
"ANO6",10
"ANO7",10
"ANO8",10
"ANO9",10
"ANOS1",8
"ANP32A",10
"ANP32B",10
"ANP32D",3
"ANP32E",10
"ANPEP",10
"ANTKMT",8
"ANTXR1",10
"ANTXR2",10
"ANTXRL",2
"ANXA1",10
"ANXA10",5
"ANXA11",10
"ANXA13",8
"ANXA2",10
"ANXA2R",8
"ANXA3",10
"ANXA4",10
"ANXA5",10
"ANXA6",10
"ANXA7",10
"ANXA8",1
"ANXA8L1",1
"ANXA9",10
"AOAH",10
"AOC1",5
"AOC2",7
"AOC3",10
"AOPEP",8
"AOX1",10
"AP1AR",10
"AP1B1",10
"AP1G1",10
"AP1G2",10
"AP1M1",10
"AP1M2",10
"AP1S1",10
"AP1S2",10
"AP1S3",9
"AP2A1",10
"AP2A2",10
"AP2B1",10
"AP2M1",10
"AP2S1",10
"AP3B1",10
"AP3B2",6
"AP3D1",10
"AP3M1",10
"AP3M2",10
"AP3S1",3
"AP3S2",3
"AP4B1",10
"AP4E1",10
"AP4M1",10
"AP4S1",10
"AP5B1",6
"AP5M1",8
"AP5S1",8
"AP5Z1",8
"APAF1",9
"APBA1",10
"APBA2",10
"APBA3",10
"APBB1",10
"APBB1IP",10
"APBB2",10
"APBB3",10
"APC",10
"APC2",10
"APCDD1",10
"APCDD1L",9
"APCS",9
"APEH",10
"APELA",2
"APEX1",10
"APEX2",10
"APH1A",10
"APH1B",10
"API5",10
"APIP",3
"APLF",4
"APLN",10
"APLNR",10
"APLP1",10
"APLP2",10
"APMAP",8
"APOA1",10
"APOA2",6
"APOA4",10
"APOA5",9
"APOB",5
"APOBEC1",6
"APOBEC2",10
"APOBEC3A",10
"APOBEC3B",10
"APOBEC3C",10
"APOBEC3D",9
"APOBEC3F",10
"APOBEC3G",10
"APOBEC3H",3
"APOBEC4",6
"APOBR",10
"APOC1",10
"APOC2",2
"APOC3",9
"APOC4",2
"APOC4-APOC2",1
"APOD",10
"APOE",10
"APOF",4
"APOH",10
"APOL1",10
"APOL2",10
"APOL3",10
"APOL4",10
"APOL5",7
"APOL6",10
"APOLD1",10
"APOM",10
"APOO",10
"APOOL",10
"APP",10
"APPBP2",10
"APPL1",10
"APPL2",10
"APRT",10
"APTX",10
"AQP1",10
"AQP10",5
"AQP11",9
"AQP12A",3
"AQP12B",1
"AQP2",9
"AQP3",10
"AQP4",10
"AQP5",10
"AQP6",10
"AQP7",3
"AQP7B",1
"AQP8",10
"AQP9",10
"AQR",10
"AR",10
"ARAF",10
"ARAP1",10
"ARAP2",10
"ARAP3",10
"ARB2A",8
"ARC",10
"ARCN1",10
"AREG",10
"AREL1",8
"ARF1",10
"ARF3",10
"ARF4",10
"ARF5",10
"ARF6",10
"ARFGAP1",10
"ARFGAP2",10
"ARFGAP3",10
"ARFGEF1",10
"ARFGEF2",10
"ARFGEF3",8
"ARFIP1",10
"ARFIP2",10
"ARFRP1",10
"ARG1",8
"ARG2",10
"ARGFX",3
"ARGLU1",10
"ARHGAP1",10
"ARHGAP10",10
"ARHGAP11A",5
"ARHGAP11B",7
"ARHGAP12",10
"ARHGAP15",10
"ARHGAP17",10
"ARHGAP18",10
"ARHGAP19",9
"ARHGAP19-SLIT1",3
"ARHGAP20",10
"ARHGAP21",10
"ARHGAP22",7
"ARHGAP23",10
"ARHGAP24",10
"ARHGAP25",10
"ARHGAP26",10
"ARHGAP27",10
"ARHGAP28",9
"ARHGAP29",10
"ARHGAP30",10
"ARHGAP31",10
"ARHGAP32",10
"ARHGAP33",10
"ARHGAP35",10
"ARHGAP36",3
"ARHGAP39",10
"ARHGAP4",10
"ARHGAP40",3
"ARHGAP42",10
"ARHGAP44",10
"ARHGAP45",8
"ARHGAP5",10
"ARHGAP6",10
"ARHGAP8",3
"ARHGAP9",10
"ARHGDIA",10
"ARHGDIB",10
"ARHGDIG",10
"ARHGEF1",10
"ARHGEF10",10
"ARHGEF10L",10
"ARHGEF11",10
"ARHGEF12",10
"ARHGEF15",10
"ARHGEF16",10
"ARHGEF17",10
"ARHGEF18",10
"ARHGEF19",10
"ARHGEF2",10
"ARHGEF25",10
"ARHGEF26",10
"ARHGEF28",8
"ARHGEF3",10
"ARHGEF33",3
"ARHGEF35",3
"ARHGEF37",10
"ARHGEF38",7
"ARHGEF39",5
"ARHGEF4",10
"ARHGEF40",10
"ARHGEF5",10
"ARHGEF6",10
"ARHGEF7",10
"ARHGEF9",10
"ARID1A",10
"ARID1B",10
"ARID2",10
"ARID3A",10
"ARID3B",3
"ARID3C",3
"ARID4A",10
"ARID4B",10
"ARID5A",10
"ARID5B",10
"ARIH1",10
"ARIH2",10
"ARK2C",3
"ARK2N",8
"ARL1",10
"ARL10",10
"ARL11",5
"ARL13A",2
"ARL13B",10
"ARL14",3
"ARL14EP",8
"ARL15",10
"ARL16",10
"ARL17A",3
"ARL17B",4
"ARL2",10
"ARL2-SNX15",1
"ARL2BP",10
"ARL3",10
"ARL4A",3
"ARL4C",10
"ARL4D",10
"ARL5A",10
"ARL5B",10
"ARL5C",3
"ARL6",10
"ARL6IP1",10
"ARL6IP4",10
"ARL6IP5",10
"ARL6IP6",10
"ARL8A",10
"ARL8B",10
"ARL9",10
"ARMC1",10
"ARMC10",10
"ARMC12",8
"ARMC2",7
"ARMC3",5
"ARMC5",10
"ARMC6",10
"ARMC7",10
"ARMC8",10
"ARMC9",10
"ARMCX1",10
"ARMCX2",10
"ARMCX3",10
"ARMCX4",7
"ARMCX5",10
"ARMCX5-GPRASP2",8
"ARMCX6",3
"ARMH1",4
"ARMH3",8
"ARMH4",6
"ARMS2",3
"ARMT1",8
"ARNT",10
"ARNT2",10
"ARPC1A",10
"ARPC1B",10
"ARPC2",10
"ARPC3",3
"ARPC4",10
"ARPC4-TTLL3",3
"ARPC5",10
"ARPC5L",10
"ARPIN",8
"ARPP19",10
"ARPP21",3
"ARR3",9
"ARRB1",10
"ARRB2",10
"ARRDC1",9
"ARRDC2",10
"ARRDC3",10
"ARRDC4",10
"ARRDC5",3
"ARSA",10
"ARSB",9
"ARSD",10
"ARSF",9
"ARSG",10
"ARSH",3
"ARSI",9
"ARSJ",10
"ARSK",10
"ARSL",8
"ART1",9
"ART3",4
"ART4",6
"ART5",9
"ARTN",10
"ARV1",10
"ARVCF",10
"ARX",7
"AS3MT",3
"ASAH1",10
"ASAH2",3
"ASAH2B",8
"ASAP1",10
"ASAP2",10
"ASAP3",10
"ASB1",10
"ASB10",10
"ASB11",5
"ASB12",9
"ASB13",10
"ASB14",9
"ASB15",5
"ASB16",10
"ASB17",2
"ASB18",3
"ASB2",10
"ASB3",10
"ASB4",4
"ASB5",3
"ASB6",10
"ASB7",10
"ASB8",10
"ASB9",10
"ASCC1",10
"ASCC2",10
"ASCC3",10
"ASCL1",5
"ASCL2",6
"ASCL3",8
"ASCL4",3
"ASCL5",6
"ASF1A",10
"ASF1B",10
"ASGR1",10
"ASGR2",10
"ASH1L",10
"ASH2L",10
"ASIC1",7
"ASIC2",6
"ASIC3",5
"ASIC4",8
"ASIC5",4
"ASIP",7
"ASL",10
"ASMT",6
"ASMTL",10
"ASNS",3
"ASNSD1",10
"ASPA",8
"ASPDH",10
"ASPG",9
"ASPH",10
"ASPHD1",10
"ASPHD2",10
"ASPM",10
"ASPN",10
"ASPRV1",10
"ASPSCR1",10
"ASRGL1",10
"ASS1",10
"ASTE1",10
"ASTL",3
"ASTN1",3
"ASTN2",7
"ASXL1",10
"ASXL2",10
"ASXL3",6
"ASZ1",2
"ATAD1",10
"ATAD2",10
"ATAD2B",10
"ATAD3A",10
"ATAD3B",10
"ATAD3C",10
"ATAD5",10
"ATAT1",10
"ATCAY",10
"ATE1",10
"ATF1",10
"ATF2",10
"ATF3",10
"ATF4",3
"ATF5",10
"ATF6",10
"ATF6B",9
"ATF7",10
"ATF7IP",10
"ATF7IP2",10
"ATG10",10
"ATG101",8
"ATG12",10
"ATG13",10
"ATG14",10
"ATG16L1",10
"ATG16L2",10
"ATG2A",10
"ATG2B",10
"ATG3",10
"ATG4A",10
"ATG4B",10
"ATG4C",10
"ATG4D",10
"ATG5",10
"ATG7",10
"ATG9A",10
"ATG9B",9
"ATIC",10
"ATL1",10
"ATL2",10
"ATL3",10
"ATM",10
"ATMIN",10
